ano;nome_ra;casamentos;pop_15mais;taxa_nupcialidade;id_media_homem;id_media_mulher
2013;Estado São Paulo;280.336;33.478.511;8,4;32,7;29,9
2013;RA Araçatuba;4.960;607.493;8,2;32,8;30,1
2013;RA Barretos;3.028;341.999;8,9;32,2;29,4
2013;RA Bauru;7.491;857.661;8,7;32,6;29,9
2013;RA Campinas;44.199;5.167.096;8,6;32,3;29,6
2013;RA Central;6.928;784.013;8,8;32,8;30,1
2013;RA Franca;4.583;565.832;8,1;31,7;28,9
2013;RA Itapeva;3.743;395.751;9,5;32,6;28,9
2013;RA Marília;6.216;762.427;8,2;32,9;29,9
2013;RA Presidente Prudente;5.860;680.722;8,6;33,1;29,8
2013;RA Registro;1.738;203.799;8,5;34,7;30,8
2013;RA Ribeirão Preto;7.967;1.026.781;7,8;32,2;29,5
2013;RA Santos;10.455;1.346.732;7,8;34,5;31,4
2013;RA São José do Rio Preto;9.948;1.211.531;8,2;32,9;29,9
2013;RA São José dos Campos;17.246;1.833.832;9,4;32,7;29,7
2013;RA Sorocaba;17.414;1.872.085;9,3;32,6;29,8
2013;RM São Paulo;128.560;15.820.757;8,1;32,8;30,1
2014;Estado São Paulo;297.477;33.851.386;8,8;32,9;30,2
2014;RA Araçatuba;5.294;612.468;8,6;33,5;30,6
2014;RA Barretos;3.372;344.548;9,8;33;30,2
2014;RA Bauru;7.923;865.152;9,2;32,8;30,1
2014;RA Campinas;47.206;5.239.330;9;32,4;29,7
2014;RA Central;7.317;791.886;9,2;33,1;30,4
2014;RA Franca;5.034;571.096;8,8;32,5;29,5
2014;RA Itapeva;3.753;399.216;9,4;32,8;29,1
2014;RA Marília;6.512;767.472;8,5;33,2;30,3
2014;RA Presidente Prudente;6.055;685.434;8,8;33,2;30,3
2014;RA Registro;1.823;205.755;8,9;34,7;30,9
2014;RA Ribeirão Preto;8.756;1.040.343;8,4;32,9;30,2
2014;RA Santos;11.377;1.363.731;8,3;34,8;31,8
2014;RA São José do Rio Preto;10.480;1.226.344;8,6;33;30,3
2014;RA São José dos Campos;17.467;1.858.620;9,4;32,7;29,7
2014;RA Sorocaba;18.506;1.903.723;9,7;32,8;29,9
2014;RM São Paulo;136.602;15.976.268;8,6;33;30,4
2015;Estado São Paulo;305.391;34.232.040;8,9;33,1;30,4
2015;RA Araçatuba;5.207;617.434;8,4;34;31
2015;RA Barretos;3.380;347.141;9,7;33,1;30,3
2015;RA Bauru;8.250;872.707;9,5;33,3;30,7
2015;RA Campinas;49.109;5.313.228;9,2;32,7;30
2015;RA Central;7.543;799.825;9,4;33,4;30,7
2015;RA Franca;4.757;576.557;8,3;32,4;29,6
2015;RA Itapeva;3.805;402.682;9,5;33;29,1
2015;RA Marília;6.721;772.667;8,7;33,4;30,6
2015;RA Presidente Prudente;5.971;690.211;8,7;33,1;30,4
2015;RA Registro;1.986;207.757;9,6;35,4;31,7
2015;RA Ribeirão Preto;8.783;1.054.289;8,3;32,8;30,3
2015;RA Santos;11.758;1.380.852;8,5;35,2;32,1
2015;RA São José do Rio Preto;10.450;1.241.452;8,4;33,1;30,4
2015;RA São José dos Campos;18.141;1.883.731;9,6;33,1;30,2
2015;RA Sorocaba;18.885;1.936.062;9,8;32,8;30,1
2015;RM São Paulo;140.645;16.135.445;8,7;33,1;30,5
2016;Estado São Paulo;296.546;34.599.558;8,6;33,5;30,8
2016;RA Araçatuba;5.184;622.044;8,3;34,1;31,3
2016;RA Barretos;3.117;349.512;8,9;33,4;30,7
2016;RA Bauru;7.883;879.912;9;33,6;31
2016;RA Campinas;47.778;5.386.264;8,9;33,1;30,5
2016;RA Central;7.152;807.410;8,9;33,8;31,2
2016;RA Franca;4.619;581.847;7,9;32,8;30,2
2016;RA Itapeva;3.554;405.987;8,8;33,3;29,7
2016;RA Marília;6.588;777.634;8,5;33,8;31
2016;RA Presidente Prudente;5.870;694.607;8,5;33,9;31,2
2016;RA Registro;1.963;209.659;9,4;35,6;31,6
2016;RA Ribeirão Preto;8.457;1.067.715;7,9;33,2;30,6
2016;RA Santos;11.525;1.397.188;8,3;35,2;32,2
2016;RA São José do Rio Preto;10.546;1.255.968;8,4;33,6;31,1
2016;RA São José dos Campos;18.634;1.908.089;9,8;33,3;30,4
2016;RA Sorocaba;18.962;1.967.737;9,6;33,3;30,5
2016;RM São Paulo;134.714;16.287.985;8,3;33,5;30,9
2017;Estado São Paulo;291.943;34.957.318;8,4;33,9;31,3
2017;RA Araçatuba;4.997;626.553;8;34,6;31,8
2017;RA Barretos;3.040;351.903;8,6;34;31,2
2017;RA Bauru;7.594;886.883;8,6;33,8;31,3
2017;RA Campinas;47.911;5.458.041;8,8;33,5;30,9
2017;RA Central;7.067;814.832;8,7;34,1;31,6
2017;RA Franca;4.502;586.957;7,7;32,8;30,4
2017;RA Itapeva;3.520;409.211;8,6;33,5;30
2017;RA Marília;6.422;782.547;8,2;34,2;31,4
2017;RA Presidente Prudente;5.552;698.954;7,9;34,3;31,5
2017;RA Registro;1.916;211.476;9,1;36;32,3
2017;RA Ribeirão Preto;8.050;1.080.579;7,5;33,7;31,1
2017;RA Santos;11.251;1.413.155;8;35,8;32,9
2017;RA São José do Rio Preto;10.120;1.270.114;8;34,2;31,5
2017;RA São José dos Campos;17.960;1.932.285;9,3;33,8;31
2017;RA Sorocaba;18.553;1.999.071;9,3;33,8;31
2017;RM São Paulo;133.488;16.434.757;8,1;33,9;31,4
2018;Estado São Paulo;279.899;35.317.859;7,9;34,2;31,6
2018;RA Araçatuba;4.820;631.115;7,6;34,7;32,1
2018;RA Barretos;2.839;354.524;8;34;31,4
2018;RA Bauru;7.317;893.989;8,2;34,1;31,6
2018;RA Campinas;46.154;5.531.027;8,3;33,9;31,3
2018;RA Central;6.644;822.385;8,1;34,4;31,9
2018;RA Franca;4.380;592.143;7,4;33,3;30,7
2018;RA Itapeva;3.439;412.450;8,3;33,4;30,2
2018;RA Marília;6.369;787.684;8,1;34,6;31,8
2018;RA Presidente Prudente;5.209;703.459;7,4;35;32
2018;RA Registro;2.042;213.304;9,6;36,2;32,4
2018;RA Ribeirão Preto;8.242;1.093.794;7,5;34,3;31,8
2018;RA Santos;10.809;1.429.127;7,6;36,1;33,2
2018;RA São José do Rio Preto;9.723;1.284.438;7,6;34,4;31,8
2018;RA São José dos Campos;17.560;1.956.890;9;34,2;31,4
2018;RA Sorocaba;18.325;2.030.874;9;33,8;31,2
2018;RM São Paulo;126.027;16.580.656;7,6;34,2;31,7
2019;Estado São Paulo;269.921;35.664.192;7,6;34,7;32,1
2019;RA Araçatuba;4.588;635.229;7,2;35,8;32,9
2019;RA Barretos;2.606;357.002;7,3;34,5;32
2019;RA Bauru;7.156;900.750;7,9;34,8;32,2
2019;RA Campinas;44.258;5.602.738;7,9;34,2;31,7
2019;RA Central;6.001;829.645;7,2;34,9;32,2
2019;RA Franca;4.206;597.020;7;34,2;31,5
2019;RA Itapeva;3.374;415.628;8,1;34,4;30,9
2019;RA Marília;6.004;792.504;7,6;34,9;32,1
